Simile,Tenor,Vehicle,Shared Property
"Navigating fantasy ""Japan"" has proven like a maze full of sudden combat.",Japan,maze,
You are an oracle whose predictions have always come like highly researched hypotheses.,You,oracle,
"They were visible to all, but like worn ancient tablets full of heiroglyphics.",tablets,worn,
It starts to worry you that everyone is like a helicopter mom.,everyone,mom,
"Because of this, all interstellar species evolved on gas giants and thought earth was like a barren wasteland.",Earth,wasteland,
"Maybe you'll give Valhalla a try, the possibilities are like a spiritual buffet.",possibilities,buffet,
You’ve just made a breakthrough in AI that meant that our species became like landlines in the twenty-first century.,species,landlines,
"When the prophet told you that all your dreams would come true, you were like a kid in an infinite candy store.",you,kid,
While it has been confirmed to not be blood even the truth is like corpses.,truth,corpses,
No matter how many times you try you're always like the early bird's worm.,you,worm,
"Turns out, tag between super heroes can get like a sibling rivalry.",tag,rivalry,
The secret is you can rewind time like a TiVo remote.,secret,remote,
After 10 minutes your head becomes like spinning cotton candy.,head,spinning,
"Unfortunately, you have a ""spiritual disorder"", and your luck is almost always like your failing GPA This tale, however, speaks of a god who's as incompetent as he is like a wagon without wheels.",god,wagon,
"The horse, who understands the conversation, is like an insulted guest.",horse,guest,
"The bottom of the ocean is dark, like a villain's lair.",ocean,lair,
"When you confront him about it, he is like the perfectly ignorant boyfriend.",boyfriend,ignorant,
"When you were but a child, your creative power was like an lesson to students and teachers alike.",power,lesson,
Her relationships with family and friends are like a tightrope walk.,Relationships,walk,
The predators never anticipated their enemies would be like Olympian gods.,predators,gods,
You wake up to find that it is like cotton is stuffed in your ears.,You,cotton,
"Nobody notices until your body is found, like a stiff corpse.",body,corpse,
Until you notice their eyes are glowing like a black cat's.,eyes,cat,
"Though the distance I have to cover is short, it feels like crawling through the desert.",distance,crawling,
The surface of Mars was blossoming like a garden in spring.,surface,garden,
"It was obscene, but she was drawn to it, like it was a bad boy in a leather jacket.",she  ,boy,
My eyes teared up and I could feel my face turning like a ripening tomato.,face,tomato,
"She smirked when she saw me looking at it, eyes huge and mouth like a door ajar.",mouth,door,
I made quick work of one with my knife and slipped inside like a stealthy ninja.,I  ,ninja,
Then there weren’t any more parties as the house became like stone.,house,stone,
"The man’s pale skin appeared human, but appearances were like a trick mirror.",man,mirror,
I knew there was pain but this was like a sharp dagger.,pain,dagger,
"It wouldn't always be noticeable, but it was always like a physical pull.",it,pull,
But when we made contact with them they were like shy little girls.,them,girls,
"He had a wide smile, but his eyes were cold, yet like a piercing breeze.",eyes,breeze,
"The knocking on the door was more assertive now, more like a woman who knows what she wants.",knocking,woman,
An ordinary citizen coming to power in this way is like a new chapter in history.,citizen,chapter,
Yet as the days would pass the user would become more like a lost student.,user,student,
"You both have something important to say, but time is like a dwindling hourglass.",time,hourglass,
"You're the only one who notices, but you're remarkably like a cool professional.",you,professional,
"But the next morning, it sounds like a sick cat.",it,cat,
They just killed an investigation journalist that was looking like an eventual threat.,journalist  ,threat,
"As a human-tick hybrid, life can sometimes be like an interspecies balancing act .",life,balancing,
They put up a brave face as governments become more like a dystopia.,governments,dystopia,
After decades of drought the Western United states is declared like a wasteland.,States,wasteland,
"He adjusted himself groggily, but upon seeing me, he sprang up like in a panic.",He,spring,
"I needed to keep my cool, but the King surely wasn't making it like any natural setting.",I,setting,
"He was executed the next day, and Sparrow was declared like a slain soldier.",Sparrow,soldier,
"They were well-cooked, and actually tasted like the chef had tried.",they,tasted,
